Denunciante;URL o dominio denunciado;Plazo de bloqueo (días);Enlace a Resolución de URSEC
Directv del Uruguay Ltda;https://futbolfullenvivo.nl/;30;Resolución N° 301/023 de 1 de noviembre de 2023
Directv del Uruguay Ltda;https://televisionlibre.futbol/;30;Resolución N° 301/023 de 1 de noviembre de 2023
Directv del Uruguay Ltda;https://futbolparatodostv.online/;30;Resolución N° 301/023 de 1 de noviembre de 2023
Directv del Uruguay Ltda;https://futbolparatodostv.co/;30;Resolución N° 301/023 de 1 de noviembre de 2023
Directv del Uruguay Ltda;https://vemosgratis.com/;30;Resolución N° 301/023 de 1 de noviembre de 2023
Directv del Uruguay Ltda;https://futbollibretyc.com/;30;Resolución N° 301/023 de 1 de noviembre de 2023
Directv del Uruguay Ltda;https://futbol-libre.tv/;30;Resolución N° 301/023 de 1 de noviembre de 2023
Directv del Uruguay Ltda;https://television.libre.futbol/;30;Resolución N° 301/023 de 1 de noviembre de 2023
Directv del Uruguay Ltda;https://libre.futbol/;30;Resolución N° 301/023 de 1 de noviembre de 2023
Directv del Uruguay Ltda;https://futbolfullenvivo.nl/;30;Resolución N° 308/023 de 6 de noviembre de 2023
Directv del Uruguay Ltda;https://televisionlibre.futbol/;30;Resolución N° 308/023 de 6 de noviembre de 2023
